iter	Passed	Remaining
0	4	2977
1	7	2613
2	10	2458
3	13	2337
4	16	2278
5	19	2234
6	22	2205
7	25	2177
8	28	2193
9	31	2181
10	34	2182
11	37	2172
12	41	2173
13	44	2167
14	47	2167
15	50	2179
16	54	2172
17	57	2164
18	60	2155
19	63	2148
20	66	2153
21	69	2154
22	73	2152
23	76	2151
24	79	2147
25	83	2154
26	86	2163
27	90	2161
28	93	2171
29	97	2167
30	100	2165
31	103	2159
32	106	2158
33	110	2155
34	113	2154
35	116	2153
36	120	2152
37	123	2147
38	126	2144
39	130	2153
40	133	2151
41	136	2146
42	140	2139
43	143	2132
44	146	2129
45	149	2122
46	152	2116
47	155	2107
48	158	2101
49	161	2099
50	164	2091
51	167	2086
52	170	2078
53	173	2074
54	176	2069
55	179	2068
56	183	2064
57	186	2062
58	189	2062
59	193	2060
60	196	2060
61	199	2058
62	203	2053
63	205	2047
64	208	2040
65	211	2032
66	214	2026
67	217	2020
68	220	2015
69	223	2008
70	225	2000
71	228	1995
72	231	1988
73	234	1981
74	237	1975
75	239	1967
76	242	1960
77	245	1954
78	247	1948
79	250	1942
80	253	1936
81	256	1930
82	258	1925
83	261	1919
84	264	1913
85	267	1906
86	269	1900
87	272	1895
88	275	1891
89	278	1885
90	280	1880
91	283	1875
92	286	1870
93	289	1865
94	292	1861
95	295	1857
96	298	1853
97	300	1847
98	303	1842
99	306	1840
100	310	1838
101	313	1835
102	315	1831
103	318	1826
104	321	1822
105	324	1818
106	327	1814
107	330	1809
108	333	1807
109	336	1803
110	338	1798
111	341	1793
112	344	1789
113	347	1783
114	349	1779
115	352	1774
116	355	1769
117	357	1764
118	360	1759
119	363	1755
120	365	1751
121	368	1747
122	371	1742
123	374	1738
124	377	1734
125	380	1731
126	382	1726
127	385	1722
128	388	1718
129	391	1714
130	394	1713
131	397	1709
132	399	1705
133	402	1700
134	405	1697
135	408	1693
136	411	1689
137	413	1685
138	416	1681
139	419	1677
140	422	1674
141	425	1670
142	427	1666
143	430	1661
144	433	1657
145	435	1653
146	438	1651
147	441	1647
148	444	1644
149	447	1640
150	450	1636
151	452	1632
152	456	1630
153	459	1627
154	461	1623
155	464	1619
156	466	1614
157	469	1612
158	472	1608
159	475	1604
160	478	1600
161	480	1597
162	483	1593
163	486	1590
164	489	1586
165	491	1582
166	494	1579
167	497	1576
168	500	1573
169	503	1570
170	506	1568
171	510	1566
172	513	1565
173	516	1562
174	519	1559
175	522	1556
176	526	1554
177	529	1551
178	531	1548
179	534	1545
180	537	1542
181	540	1538
182	543	1535
183	546	1532
184	549	1529
185	552	1526
186	555	1523
187	558	1521
188	561	1518
189	564	1515
190	568	1513
191	571	1512
192	575	1510
193	578	1509
194	582	1507
195	585	1506
196	589	1504
197	592	1502
198	596	1500
199	599	1498
200	603	1497
201	606	1495
202	610	1494
203	613	1492
204	617	1489
205	620	1488
206	624	1486
207	627	1484
208	630	1482
209	634	1480
210	637	1477
211	641	1475
212	644	1473
213	647	1470
214	650	1467
215	654	1465
216	656	1462
217	659	1458
218	662	1455
219	665	1451
220	667	1447
221	670	1443
222	673	1439
223	675	1436
224	678	1432
225	681	1428
226	684	1425
227	686	1422
228	689	1418
229	692	1414
230	694	1410
231	697	1407
232	700	1404
233	703	1401
234	706	1397
235	709	1394
236	712	1390
237	714	1387
238	717	1383
239	719	1379
240	722	1376
241	725	1373
242	729	1371
243	731	1367
244	734	1364
245	737	1361
246	740	1357
247	742	1353
248	745	1350
249	748	1346
250	750	1342
251	753	1339
252	756	1336
253	759	1333
254	762	1330
255	764	1326
256	767	1323
257	770	1319
258	773	1316
259	775	1312
260	778	1309
261	781	1305
262	783	1302
263	786	1298
264	788	1295
265	791	1291
266	794	1288
267	796	1284
268	799	1281
269	802	1277
270	804	1274
271	807	1270
272	810	1267
273	812	1263
274	815	1260
275	818	1256
276	820	1253
277	823	1250
278	826	1246
279	828	1243
280	831	1239
281	834	1236
282	837	1234
283	840	1230
284	842	1227
285	845	1224
286	848	1221
287	851	1217
288	854	1214
289	856	1211
290	859	1208
291	862	1204
292	865	1201
293	867	1198
294	870	1194
295	873	1191
296	875	1188
297	878	1184
298	881	1181
299	883	1178
300	886	1175
301	889	1172
302	892	1168
303	894	1165
304	897	1162
305	900	1159
306	903	1156
307	905	1152
308	908	1149
309	910	1145
310	913	1142
311	916	1139
312	918	1135
313	921	1132
314	923	1129
315	926	1125
316	929	1122
317	931	1119
318	934	1116
319	937	1112
320	939	1109
321	942	1106
322	945	1103
323	948	1100
324	950	1096
325	953	1093
326	956	1090
327	958	1087
328	961	1084
329	964	1081
330	966	1077
331	969	1074
332	972	1071
333	974	1068
334	977	1064
335	980	1061
336	982	1058
337	985	1055
338	988	1052
339	990	1048
340	993	1045
341	995	1042
342	998	1039
343	1001	1036
344	1004	1033
345	1006	1030
346	1009	1027
347	1012	1023
348	1014	1020
349	1017	1017
350	1020	1014
351	1023	1011
352	1026	1008
