feature,importance,std
Petrov,0.08377597718787255,0.009253529770086956
PCR 72h,0.022491121170961876,0.008603718442017244
SIRS,0.01783486548328115,0.004453637263139734
PMN/Lymph 72h,0.014078085966221158,0.004878460530208603
Mono 72h,0.009374643132001906,0.003169451516483513
Chest X-Ray,0.007034841506518163,0.004145336678381759
PMN 72h,0.00600345664642894,0.0018527190031076767
Creat Adm,0.004711396929728373,0.0011862222556546498
Urea_delta_72h,0.004214288014391032,0.003231498980908818
Urea 72h,0.003002414710131359,0.0026535779415123575
Age,0.002720731087418867,0.003276935367029064
GPT,0.0024205529918312116,0.0011603284122798764
PMN/Lymph Admin,0.0023269146318571983,0.001271127052845883
Amilasa,0.0023102636359258427,0.0009275598692505972
Creat_delta_72h,0.00202890551995395,0.0015851701569138813
Glu,0.0020080746310641383,0.000903662823421277
Lymph 72h,0.001979895309808736,0.0012593730979046775
PCR_delta_72h,0.0018659705087019085,0.002813845483078285
Col total,0.0018122474057671054,0.0008401557154595284
Eosinophils 48h,0.0012842583869144978,0.0006012213181447822
Height,0.0012597448253929612,0.0009483264129932071
Mono 48h,0.0012330076448082595,0.0007420587406044834
BMI,0.0011250470526813715,0.0009630375138081033
PCO2,0.001088892044779636,0.0007289153683111389
Creat 72h,0.00102144226719764,0.0005653059732672767
Urea_delta_48h,0.0009998292916380102,0.0012162792532388529
F alc,0.0009240948687337899,0.0007446956998835801
GOT,0.0009205170222629196,0.0009564302087632167
Urea Adm,0.0008745949962860748,0.0009782273163171946
Eosinophils 72h,0.0008590044282685061,0.0012188628787012602
Onset pain,0.0007754258727932155,0.0007807029211924308
PMN 48h,0.0007356681917875233,0.0005036894229312864
Exceso Bases,0.0007215153777591003,0.0008120870051704756
NLR_adm,0.000710889415118395,0.0005100318912124181
 CO3 H,0.0006935732380293436,0.000762489241419332
Gasometría: Ph,0.0006837355545050827,0.0004049910132205848
Inflammatory Index,0.000624519069239741,0.0008874787716095432
Mono Adm,0.0005875041330258476,0.0008489769907922155
Lymphocytes Adm,0.0005678967842344784,0.0007399923641760645
Leukocytes_delta_72h,0.0005061907512053858,0.0011666622075654585
Drinker,0.0004989281117409557,0.0001728166316317141
Lipase,0.0004711648963335572,0.0009984679733325516
Etiology,0.00046541551293914906,0.0003918652858657654
Leukocytes 72h,0.00043866118887633994,0.0004983631869740754
PMN/Lymph 48h,0.0004084293020674553,0.0005228093882929767
Abdominal Exam,0.0003940313311803186,0.0012855329574025856
CCI,0.00033579506104058167,0.0007625360326733862
Hct Adm,0.00032519910027603756,0.001049782921516823
Dyslipidemias,0.000319458934793652,0.00041226367417679887
BISAP,0.00029720183629322237,0.00034944258974667423
PCR 48h,0.00028400864987416044,0.001113682232845332
Ca,0.0002820861797075339,0.0006224997145635547
Hct 48h,0.0002718940642650584,0.00037902983073916086
Urea 48h,0.00019571097948389108,0.0018553469713375474
Eosinophils Adm,0.00018200090029140136,0.001017126220667989
Waist circ,0.0001452859056419194,0.00116333519144613
Hct 72h,9.168758793293892e-05,0.0010060723219117945
Grams/Day,4.074185252493923e-05,0.00011972918076586936
Sex,3.274263619770975e-05,5.2330886133020154e-05
Ransom Adm,7.107603640961931e-06,0.0001643380571449501
Creat 48h,-3.468537344453182e-07,0.000744083594538362
NLR_48h,-2.012269640007484e-05,0.00021949264257943858
PCR_delta_48h,-2.176511371209481e-05,0.0007827763065637552
Previous AP,-2.254881628293385e-05,0.00010313222123549306
PCR Adm,-2.5392731334106244e-05,0.0006176414083704219
Platelets,-5.555137851936213e-05,0.0003938637806018669
Smoker,-6.556456325617447e-05,9.27459174491085e-05
PCR/Alb ratio,-0.000188496708704781,0.0005622162942186088
Pain Intensity,-0.00023561195056507703,0.00033866079369953715
Leukocytes_delta_48h,-0.00026455824678801957,0.0003408648251789792
HBD,-0.0003152787230396877,0.00038189173269722785
Creat_delta_48h,-0.0003602208622810688,0.0006993345731444689
TG,-0.00038135663632653157,0.001072190951419795
Leukocytes Adm,-0.0004830038883264609,0.0006141931887200352
Lymph 48h,-0.0005074491125863741,0.0004900921573057658
Weight,-0.0005237070695635245,0.0005594788018518147
PCR_Albumin_ratio,-0.0005766198228636998,0.0002962108003904683
severity_composite,-0.0006422405346557284,0.0006395805586979541
Phosphate,-0.0006535744131182075,0.0010630471381784998
Packs/Year,-0.0006586202698255162,0.00027429294018476146
Albumin,-0.0007586946061347726,0.0006803999863597746
PMN Adm,-0.0007946262966297857,0.0010463250921854826
DM,-0.0008636677040255059,0.0002546818840116535
Hct_delta_72h,-0.0011501083125064963,0.0006390583877333376
Leukocytes 48h,-0.0012058301652677554,0.0011155757331220142
Ransom 48h,-0.0012574655037370986,0.0006222081402597928
Hct_delta_48h,-0.0019731414168927984,0.0009959403814717158
