feature,importance
Petrov,0.5232592904611607
Age,0.07606586258619756
PCR_delta_72h,0.03750578202173095
Ca,0.03552972374816928
Lymphocytes Adm,0.02981880773055252
BMI,0.026973760779355184
Hct 48h,0.025704807840802403
Creat Adm,0.02158295106305793
Eosinophils 72h,0.018879135391826073
SIRS,0.01805208314807777
PCR 72h,0.014157730998313644
Lymph 72h,0.010001485007622902
PCR_Albumin_adm,0.009665123137709907
PCR Adm,0.00962333839142777
PMN/Lymph 72h,0.009132255027229908
severity_composite,0.00760662164895527
Leukocytes_delta_48h,0.0065528011204665
PMN/Lymph Admin,0.005852649222424655
Hct_delta_72h,0.003777693716842623
Creat 48h,0.0035358533586673955
Height,0.0033130657245751703
Urea_delta_72h,0.0031267753413381618
Urea Adm,0.0027938630698583376
 CO3 H,0.00277820609921704
Mono Adm,0.0026756434785936366
F alc,0.002609322672730807
Leukocytes Adm,0.0013700316245799037
Exceso Bases,0.0013503679043798567
PMN 72h,0.0013201477716065057
Smoker,0.001251928286754822
Platelets,0.0012132388269379235
Mono 48h,0.0007400909436864666
Eosinophils 48h,0.0006713465467964918
Weight,0.0005682681678580992
Glu,0.0005334736538083584
Lymph 48h,0.00043661420473730674
PMN/Lymph 48h,0.000345152416050587
DM,0.00032770335028466937
Albumin,0.0002903612015661472
Leukocytes 72h,0.00028437376593356547
Dyslipidemias,0.00020863357758150737
Etiology,0.00020659623074649193
Previous AP,0.00017001888328203041
Hct Adm,0.00016956827980776356
BISAP,0.00015214269440719797
BMI_calc,0.00011800198291742615
PMN 48h,0.00011636193665598427
Packs/Year,9.114676333070726e-05
Inflammatory Index,8.88436076236232e-05
Gasometría: Ph,7.677192584398806e-05
Creat_delta_48h,-2.781081600121693e-05
Creat 72h,-0.00010490911249965152
Pain Intensity,-0.00016021078973538216
Onset pain,-0.00032121376465140685
PMN_Lymph_adm,-0.0003510316789904766
PCO2,-0.0004473376124000006
Ransom 48h,-0.00045085823711259464
Leukocytes_delta_72h,-0.00048475789586467367
PMN Adm,-0.000523473467334934
HBD,-0.0005518228684014525
Grams/Day,-0.0007898832109407006
Leukocytes 48h,-0.0007933731141880895
Waist circ,-0.0008011378023802141
Phosphate,-0.0008022358212292358
PCR/Alb ratio,-0.0008969120056042668
Urea 48h,-0.0009123878651898676
Chest X-Ray,-0.0009449294986832113
Urea 72h,-0.001041765957525087
Col total,-0.0011299835285290883
Hct 72h,-0.0012585768470825599
Hct_delta_48h,-0.0012594655799847755
Mono 72h,-0.001394497389488414
Sex,-0.0015221261635648743
GOT,-0.0016478942746425474
GPT,-0.001994666983266813
Amilasa,-0.0022905223826735544
Lipase,-0.0025354633226615684
PCR 48h,-0.0025581663593453375
Drinker,-0.0025816000536710735
Ransom Adm,-0.0028708676247147457
Abdominal Exam,-0.0032600525086831423
PCR_delta_48h,-0.0034343813606388164
Urea_delta_48h,-0.0034500476390502246
TG,-0.003741038958470955
Creat_delta_72h,-0.0046925335685986
Eosinophils Adm,-0.00541216693094253
CCI,-0.013678469096974922
